"img","name","price","city"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","daster jumbo pola baju tidur santai dress bunga batik","Rp53.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","JUMBO Baju Tidur Wanita Piyama Setelan Rayon CP Celana Panjang - Polos","Rp114.900","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Nyonya Piyama Poly Bamboo Oversized Cozy Set Lengan Panjang Polos V.2","Rp139.900","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Big Size Lingerie Baju Tidur Daster Sexy Satin Fit to XXL","Rp54.500","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","PIYAMA WANITA / BAJU TIDUR WANITA","Rp110.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Kultur at Home - Midi Set - Setelan Celana Midi Baju Tidur Piyama","Rp140.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","BAJU TIDUR WANITA / PIYAMA / SETELAN WANITA BATIK RAYON KULOT 7/8 ADEM","Rp70.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","SETELAN PIYAMA WANITA / BAJU TIDUR DEWASA / RAYON / CELANA PANJANG","Rp82.460","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Baju Tidur Cewek/Wanita Piyama Pajamas Satin Silky Murah","Rp46.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Baju Tidur Wanita Piyama Setelan Rayon CP Celana Panjang - Polos","Rp99.900","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","DASTER / DRESS BAJU TIDUR WANITA (tersedia 4 motif,di slide yaa)","Rp99.000","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Babydoll Setelan One Set Piyama Wanita Dewasa Rayon - Lengan Panjang","Rp79.800","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Babydoll Setelan One Set Piyama Wanita Dewasa Rayon - Celana Pendek","Rp57.400","Fashion Wanita"
"https://ecs7.tokopedia.net/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg","Baju tidur / setelan / piyama import anak laki. Brand melody.","Rp42.500","Fashion Wanita"
